Model,Changes,IoU,Precision,Recall,F1-score,Inference Time/Image
Baseline CNN,Simple encoder-decoder CNN,0.3632,0.6096,0.4779,0.528,0.0015
Improved CNN,Added Batch Normalization and Dropout,0.3891,0.6012,0.5344,0.5558,0.0016
